"name","category","price_range","vibe","address","seating","is_licensed","has_shisha","rating","google_place_id","latitude","longitude","created_at"
"21 Grams","Cafe","","Breakfast, Chill, Middle Eastern","Meyan Mall - Floor 2 - Al Thanya St - Umm Suqeim 2 - United Arab Emirates","Indoor","No","No","4.60","ChIJsQbDpkVqXz4RghkH6KosPwU","25.14468000","55.19871690","2024-11-04T18:22:26.242Z"
"Agora","Bar","","Fancy, Dim, Vibey","The Edition Hotel - Ground Floor - Dubai Fountain St - Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.80","ChIJof70zqtpXz4RdXBQ3mretns","25.19186260","55.28087440","2024-11-04T18:21:02.568Z"
"Allo Beirut","Restaurant","","Comfort, Middle Eastern","Al Safa St - Al Wasl - Dubai - United Arab Emirates","Indoor","No","No","4.30","ChIJ8V5J9rxDXz4Rvs86mFM45fA","25.20795710","55.26360680","2024-11-04T18:21:20.229Z"
"Alma","Bar","","Quiet, Dim, Fancy","Podium Level, Gate Village 05 - Trade Centre - DIFC - Dubai - United Arab Emirates","Al Fresco","Yes","No","4.40","ChIJ-4lG2fhDXz4R51S_MLG7828","25.21425380","55.28270160","2024-11-04T18:22:33.040Z"
"Amelia","Restaurant","","Fancy, Vibey, Dim","Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJw6qgTIFDXz4RoC78sPKt-wQ","25.20221020","55.27154800","2024-11-04T18:21:53.718Z"
"Angel cakes","Cafe","","Sunny, Cute","25°11'50.8""N 55°16'38.1""E - Dubai - United Arab Emirates","Both","No","No","4.80","ChIJZQBU3N1DXz4RSgXXIYc2kRI","25.19741590","55.27679260","2024-11-04T18:21:29.335Z"
"Bait Maryam","Cafe","","Breakfast, Cute, Middle Eastern","Cluster D - Jumeirah Lake Towers - Dubai - United Arab Emirates","Indoor","No","No","4.50","ChIJl5o1TKxsXz4Ro3vX1w-5YZM","25.07055850","55.14114410","2024-11-04T18:22:24.824Z"
"Brass Monkey","Bar","","Casual, Comfort, Chill, Activity","Bluewaters Island - Dubai - United Arab Emirates","Indoor","Yes","No","4.40","ChIJHYONX-cVXz4RfYACXb5DVs8","25.08110400","55.12265840","2024-11-04T18:20:55.068Z"
"Brix","Cafe","","Cute, Sunny, Breakfast","Jumeirah Fishing Harbour - Shop 1 - Al Urouba St - Jumeirah - Jumeirah 2 - Dubai - United Arab Emirates","Both","No","No","4.60","ChIJSdrs8a9DXz4R1r7Wu94z8fY","25.20992790","55.24418790","2024-11-04T18:21:26.623Z"
"Cafe Haroun","Cafe","","Comfort, Casual, Chill","Al Heeba St - Umm Suqeim - Umm Suqeim 1 - Dubai - United Arab Emirates","Both","No","Yes","4.10","ChIJ1xz4CtBrXz4RIB8gmllorPY","25.17302530","55.21875870","2024-11-04T18:21:10.188Z"
"Coco Bay","Bar","","Beachy, Chill, Comfort","West beach Palm - Jumeirah - Dubai - United Arab Emirates","Al Fresco","Yes","No","4.30","ChIJ-Vi4PIRrXz4RPaz-YtOFX5s","25.10688820","55.14314020","2024-11-04T18:20:56.593Z"
"Courtyard One & Only","Bar","","Fancy, Middle Eastern, Quiet","One&Only Royal Mirage - King Salman Bin Abdulaziz Al Saud St - Dubai Marina - Dubai - United Arab Emirates","Al Fresco","Yes","No","4.70","ChIJ_3FpvEZrXz4RI9WQCJ0P8Ko","25.09535780","55.15063540","2024-11-04T18:22:21.696Z"
"Daikan","Restaurant","","Chill, Asian, Vibey","Al Safa St - Al Wasl - Dubai - United Arab Emirates","Indoor","Yes","No","4.70","ChIJN2GEegBDXz4RLKZ0_KcbFh4","25.20696470","55.26156870","2024-11-04T18:22:07.532Z"
"Dampa Seafood","Restaurant","","Casual, Comfort","Baniyas Rd - Port Saeed - Dubai - United Arab Emirates","Indoor","No","No","4.70","ChIJvYwf99hcXz4Rp4ci-Nb3bxg","25.25431360","55.32840540","2024-11-04T18:22:15.516Z"
"East West","Cafe","","Fancy, Coffee","First Floor - The Courtyard - 6A St - Al Quoz - Dubai - United Arab Emirates","Indoor","No","No","4.40","ChIJp1KH9XxrXz4RNTPdJV7KxBI","25.14320340","55.22381110","2024-11-04T18:21:16.922Z"
"Electric Pawn Shop","Bar","","Chill, Dim, Fancy","1 Sheikh Zayed Rd - Trade Centre - Trade Centre 1 - Dubai - United Arab Emirates","Indoor","Yes","No","4.30","ChIJQZGQGTxDXz4RXuwCfQjce5c","25.23032180","55.28712980","2024-11-04T18:20:46.025Z"
"Eugene Eugene","Restaurant","","Fancy, Chill","Kempinski Hotel - Sheikh Zayed Rd - Al Barsha - Al Barsha 1 - Dubai - United Arab Emirates","Both","Yes","No","4.60","ChIJkfqj0JxrXz4ReI4_vOYcgNQ","25.11893860","55.19739020","2024-11-04T18:21:46.652Z"
"Eva by Three","Restaurant","","Casual, Chill, Middle Eastern","Villa 53 - Al Wasl Street - 23B St - Jumeirah 2 - Dubai - United Arab Emirates","Both","No","No","4.50","ChIJk7XsZ5tDXz4RYyFJAzGnNjs","25.19901480","55.24781040","2024-11-04T18:21:50.534Z"
"Fi'lia","Restaurant","","Chill, Middle Eastern, Views","Marasi Dr - Business Bay - Dubai - United Arab Emirates","Both","No","No","4.30","ChIJi0WQdLZpXz4RSUNAkUE5_Is","25.18534620","55.29235190","2024-11-04T18:21:34.252Z"
"Fusion Ceviche","Restaurant","","Casual, Fresh, Chill","𝐉𝐋𝐓 𝐂𝐋𝐔𝐒𝐓𝐄𝐑 𝐐 𝐒𝐀𝐁𝐀 𝟑 𝐒𝐇𝐎𝐏 #𝟒 - Dubai - United Arab Emirates","Both","No","No","4.70","ChIJDWgln8ptXz4R71wUYCRL5O4","25.07616190","55.14548810","2024-11-04T18:22:12.242Z"
"Gohan","Restaurant","","Fancy, Asian, DJ","Emirates Towers Hotel Entrance - Jumeirah Emirates Towers Hotel - 1st Floor Sheikh Zayed Rd - Dubai - United Arab Emirates","Indoor","Yes","No","4.70","ChIJ2VHmmKtDXz4Rbrq2aGbN0mA","25.21776410","55.28199270","2024-11-04T18:21:42.545Z"
"Hadilao Hot Pot","Restaurant","","Casual, Comfort, Asian, Activity","57WJ+H6 - Downtown Dubai - Dubai Mall - Dubai - United Arab Emirates","Indoor","No","No","4.80","ChIJDf4VsRxpXz4RJj7NsW0wN4Y","25.19640690","55.28062120","2024-11-04T18:22:41.312Z"
"Harbour Cafe","Cafe","","Sunny, Chill, Comfort","Address - Ras Al Khor - Dubai Creek Harbour - Dubai - United Arab Emirates","Al Fresco","No","No","4.80","ChIJ1ZWajo0TXz4R0BVX2lWViSo","25.20875140","55.34353510","2024-11-04T18:22:28.386Z"
"Hashmis","Restaurant","","Casual, Comfort","Al Barsha - Al Barsha 1 - Dubai - United Arab Emirates","Indoor","No","No","4.60","ChIJe6hmOrVDXz4RHadPnhQex9w","25.11106300","55.19519040","2024-11-04T18:22:13.589Z"
"Hawkerboi","Restaurant","","Asian, Dim, Vibey","The Park - Jumeirah Lake Towers - Dubai - United Arab Emirates","Both","Yes","No","4.70","ChIJuVjmoudtXz4R3jCjcKt4dos","25.07511410","55.14677010","2024-11-04T18:22:38.078Z"
"Home Bakery","Cafe","","Fancy, Comfort, Chill","The Dubai Mall Fashion Avenue - 1st Floor - Downtown Dubai - Dubai - United Arab Emirates","Indoor","No","No","4.20","ChIJs5IFBoJCXz4Ry0iMlVYG5vI","25.19754640","55.27642520","2024-11-04T18:21:14.007Z"
"Honeycomb","Restaurant","","Fancy, Asian, DJ, Vibey","Pullman Dubai Downtown - Level 2 - Business Bay - Dubai - United Arab Emirates","Both","Yes","No","4.20","ChIJD93Kdl9pXz4RftyQo9H3QRQ","25.18692730","55.27168540","2024-11-04T18:21:39.366Z"
"Jamavar","Restaurant","","Fancy, Chill, Dim, Indian","Address Residences Opera District - Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.60","ChIJ96_Q7nZpXz4RnbdR5xFBOOc","25.19699150","55.27148070","2024-11-04T18:22:39.330Z"
"Josette","Cafe","","Fancy, Pretty, Vibey, Coffee","ICD Brookfield Place - Trade Centre - DIFC - Dubai - United Arab Emirates","Indoor","No","No","4.60","ChIJq1PGaO5DXz4RNM9F8G9coYg","25.21182490","55.28064790","2024-11-04T18:22:34.351Z"
"Juns","Restaurant","","Fancy, Asian, Chill","Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.60","ChIJMZuZr75DXz4RDF3KsT3WPek","25.19080470","55.27268240","2024-11-04T18:21:35.584Z"
"Kaak","Cafe","","Casual, Chai","Al Wasl Rd - opposite Emarat Al Safa Petrol Station - Al Wasl Area - Jumeirah 2 - Dubai - United Arab Emirates","Both","No","No","4.80","ChIJ8w2OCD1DXz4RgGjbZXgaQZY","25.20383450","55.25111280","2024-11-04T18:21:58.213Z"
"Kana","Cafe","","Comfort, Chill, Casual","Marasi Dr - Business Bay - Dubai - United Arab Emirates","Both","No","Yes","4.20","ChIJST1J3RVpXz4RmKnpOsYCoa0","25.19016360","55.28466880","2024-11-04T18:21:12.382Z"
"Kinoya","Restaurant","","Asian, Comfort, Chill","The Onyx Tower 2 - Floor P2 - Dubai - United Arab Emirates","Both","Yes","No","4.50","ChIJo_aEw_JtXz4RIrHIsLk_ab0","25.09681210","55.16934350","2024-11-04T18:21:22.064Z"
